PSRXYZA,USB2,0,53.5,FINESTEERING,2354,588515.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.9721,-3664902.0183,4939957.0225,2.2591,3.2005,2.7600,SOL_COMPUTED,DOPPLER_VELOCITY,0.0029,-0.0113,-0.0051,0.0305,0.0389,0.0559,"",0.000,0.000,0.000,32,20,0,0,0,06,35,33*a49dc676
PSRXYZA,USB2,0,53.5,FINESTEERING,2354,588516.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.8682,-3664901.9451,4939956.9856,2.2532,3.1919,2.7541,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0224,0.0041,0.0389,0.0304,0.0377,0.0558,"",0.000,0.000,0.000,32,20,0,0,0,06,35,33*a1e45467
PSRXYZA,USB2,0,53.5,FINESTEERING,2354,588517.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.7134,-3664901.7980,4939956.8704,2.2510,3.1914,2.7536,SOL_COMPUTED,DOPPLER_VELOCITY,0.0154,0.0027,-0.0137,0.0304,0.0375,0.0557,"",0.000,0.000,0.000,32,20,0,0,0,06,35,33*f8bfdd97
PSRXYZA,USB2,0,53.0,FINESTEERING,2354,588518.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.5908,-3664901.7918,4939956.8310,2.2504,3.1901,2.7514,SOL_COMPUTED,DOPPLER_VELOCITY,0.0005,-0.0013,-0.0052,0.0304,0.0375,0.0556,"",0.000,0.000,0.000,32,20,0,0,0,06,35,33*e9b7f80d
PSRXYZA,USB2,0,52.0,FINESTEERING,2354,588519.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.5325,-3664901.8526,4939956.8299,2.2283,2.9965,2.7395,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0020,0.0218,0.0056,0.0296,0.0370,0.0555,"",0.000,0.000,0.000,32,20,0,0,0,06,35,33*6be04b19
PSRXYZA,USB2,0,50.0,FINESTEERING,2354,588520.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.5983,-3664901.8342,4939956.7968,2.2257,2.9936,2.7398,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0622,-0.0292,0.0792,0.0305,0.0396,0.0566,"",0.000,0.000,0.000,30,20,0,0,0,06,35,33*bea387c3
PSRXYZA,USB2,0,47.0,FINESTEERING,2354,588521.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641806.8424,-3664901.7241,4939956.7184,2.2196,2.9877,2.7354,SOL_COMPUTED,DOPPLER_VELOCITY,-0.1877,0.0841,-0.0207,0.0346,0.0448,0.0564,"",0.000,0.000,0.000,31,20,0,0,0,06,35,33*766fcb86
PSRXYZA,USB2,0,47.0,FINESTEERING,2354,588522.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641807.3674,-3664901.6460,4939956.6145,2.2186,2.9875,2.7339,SOL_COMPUTED,DOPPLER_VELOCITY,-0.6577,0.1122,-0.1767,0.0372,0.0460,0.0557,"",0.000,0.000,0.000,30,21,0,0,0,06,35,33*fbfe87de
PSRXYZA,USB2,0,48.5,FINESTEERING,2354,588523.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641808.1947,-3664901.5303,4939956.4440,2.2158,2.9823,2.7271,SOL_COMPUTED,DOPPLER_VELOCITY,-0.8828,-0.1250,-0.1422,0.0377,0.0483,0.0611,"",0.000,0.000,0.000,29,21,0,0,0,06,35,33*b04f8b8c
PSRXYZA,USB2,0,55.0,FINESTEERING,2354,588524.000,02000000,c94c,17399;SOL_COMPUTED,SINGLE,-1641809.1711,-3664901.4422,4939956.2621,2.2139,2.9801,2.7256,SOL_COMPUTED,DOPPLER_VELOCITY,-0.9182,0.2531,-0.5349,0.0338,0.0429,0.0577,"",0.000,0.000,0.000,31,21,0,0,0,06,35,33*b0af579e
